"Gene"
"IDO1"
"CCL8"
"CCL2"
"GBP1P1"
"ETV7"
"IFIT2"
"SIGLEC1"
"CLEC6A"
"DEFB1"
"CXCL10"
"HESX1"
"SIGLEC11"
"KCTD14"
"ADORA3"
"LAMP3"
"XAF1"
"SEPT4"
"LOC441019"
"EPSTI1"
"TNFAIP6"
"ADM"
"KCNE1"
"ACSL1"
"FOLR3"
"RUFY4"
"PGAP1"
"OAS1"
"BATF2"
"IFIT1"
"SAMD4A"
"MS4A4A"
"PNMA5"
"TAP2"
"TCN2"
"RSAD2"
"CMPK2"
