"","DF1","DF2","DHF","DSS","Healthy","FeverDay"
"ME4",0.00358666803210583,0.779968744764189,0.0683087923034523,0.779968744764189,0.425968736473219,0.91714673234677
"ME6",0.933295217545351,0.801778661223173,0.870113937777067,0.870113937777067,0.626958890975696,0.779968744764189
"ME1",0.381697770097892,0.90146835683133,0.360969933684129,0.784562731515007,0.91714673234677,0.933295217545351
"ME2",0.91714673234677,0.779968744764189,0.91714673234677,0.779968744764189,0.779968744764189,0.360969933684129
"ME5",0.115561268876248,0.140461416587377,0.817187093288128,0.50730049090379,0.0286592647837465,0.0179447927173271
"ME8",0.779968744764189,0.784562731515007,0.870113937777067,0.779968744764189,0.0572675798608344,0.00604916351952115
"ME3",0.360969933684129,0.47927047297875,0.360969933684129,0.779968744764189,0.557463794416464,0.258008613968005
"ME7",0.90146835683133,0.91714673234677,0.779968744764189,0.779968744764189,0.90146835683133,0.47927047297875
