"Gene"
"IGLC1"
"SDC1"
"SLC25A47"
"KLHL14"
"RGS13"
"BCR/TCR_IGKV3/OR22-2"
"PKHD1L1"
"UBE2J1"
"ABLIM2"
"ACTN1"
"TRIM69"
"TIMD4"
"BCR/TCR_IGHG4"
"BCR/TCR_IGHV1/OR16-3"
"ENTPD1"
"EAF2"
"IGLL3P"
"BCR/TCR_IGLC6"
"LOC442031"
"NUF2"
"TXNDC5"
"LOC389642"
"BCR/TCR_IGKV1D-43"
"BCR/TCR_IGLC7"
"SAMD7"
"SKA3"
"PERP"
"SEC14L1"
"FAM46C"
"DENND5B"
"SLC25A23"
"GRP"
"HERC2P5"
"FER1L4"
"IGJ"
"RCAN3"
"LOC441507"
"CD38"
"RACGAP1P"
"CDK1"
"C6orf94"
"NEK2"
"IGLV@"
"LOC401062"
"LSM12"
"GLDC"
"VSIG7"
"IGL@"
"COX6A2"
"ELL2"
"ARHGAP42"
"SEC11C"
"SLC16A14"
"BCR/TCR_IGLV1-50"
"LOC389742"
"GGH"
"BUB1"
"POU2AF1"
"TPX2"
"ASB16"
"MAN1A1"
"SPCS3"
"LOC401520"
"RRM2"
"SH3D20"
"LARP1B"
"UAP1"
"LOC440871"
"LINC00265"
"ITM2C"
"KIF20A"
"HSP90B1"
"CLEC2D"
"PNOC"
"DPAGT1"
"DUSP5"
"SPC25"
"TULP1"
"B3GNT9"
"DLGAP5"
"KIF18A"
"JSRP1"
"FKBP7"
"TNFRSF10B"
"BCR/TCR_IGHV1/OR15-6"
"CALU"
"GARNL3"
"CDKN3"
"CDH1"
