"Gene"
"PF4V1"
"FAM81B"
"TMEM158"
"CALD1"
"GNG11"
"BEND2"
"CABP5"
"CLEC1B"
"LCN2"
"CXCL5"
"PRKAR2B"
"LOC388480"
"MYL9"
"CA2"
"TREML1"
"TMEM40"
"GP6"
"GFI1B"
"CTDSPL"
"ASAP2"
"SUCNR1"
"RAB27B"
"MYCT1"
"HBD"
"TUBB1"
"SNCA"
"MMD"
"ITGA2B"
"NEXN"
"SH3BGRL2"
"CABP3"
"ITGB3"
"NAT8B"
"XIRP2"
"BCKDHA"
"ESAM"
"LOC283089"
"PEAR1"
"TSPAN9"
"HIST1H4H"
"LIPH"
"OR2W3"
"SLC35D3"
"TRIM58"
"GP9"
"AQP10"
"MEIS1"
"MPL"
"THBS1"
"CLDN5"
"XK"
"SELP"
"FRMD3"
"C19orf33"
"NDUFAF3"
"TPM1"
"SPARC"
"PDZK1IP1"
"TAL1"
"SLC35D2"
"CD6"
"VWF"
"PDGFC"
"SEC14L5"
"FAM164C"
"SLC18A2"
"MMRN1"
"LOC400479"
"TMEM176A"
"SDPR"
"HIST1H2BO"
"SEPT5"
"HIST1H2AA"
"HIST2H2BE"
"GP1BB"
"LGALSL"
"GP1BA"
"C1QC"
"MYLK"
"MT-TM"
"GATA1"
"HGD"
"F13A1"
"LOC441281"
"TNNC2"
"LAPTM4B"
"ALOX12"
"BET1"
"PTGS1"
"MFAP3L"
"ADRA2A"
"GUCY1A3"
"GNG8"
"VIL1"
"GUCY1B3"
"HIST1H3H"
"FHL2"
"TNFSF4"
"HIST1H2BN"
"PCYT1B"
"LY6G6F"
"NGFRAP1"
"ANTXR2"
"SYTL4"
"ACRBP"
"PTGIR"
"ELOVL7"
"HIST1H2BJ"
"C7orf41"
"WHAMMP2"
"RNASE1"
"RGS6"
"OSBP2"
"HIST1H2AE"
"TTC7B"
"C12orf39"
"HIST1H2BD"
"MLH3"
"MT-TW"
"EGF"
"CETP"
"WHAMMP3"
"EGFL7"
"CLU"
"ncRNA_Mitochondrial_6_583"
"C2orf88"
"SCGB1C1"
