"","DF1","DF2","DHF","DSS","Healthy","FeverDay"
"ME4",0.391081384285529,0.0690492916019784,-0.265662898771986,-0.0939217445966583,-0.15358255657435,0.0205711477259547
"ME6",0.00860987327335281,0.0586981231048604,0.0411739718328635,-0.0441133295527692,-0.115185370254201,0.0826651443816996
"ME1",0.162698494781764,-0.0322625020402397,-0.169785500235704,0.0630714437606495,-0.0173303898290242,-0.0113956907425318
"ME2",0.0171443458396221,0.085751101146048,0.015668214172211,-0.0690817103523415,-0.0942486447588231,0.17563198576981
"ME5",-0.242173788933487,0.230032204234128,0.0545160813020711,0.134134757567273,-0.304948580088877,-0.337993602850434
"ME8",0.0760259388233789,0.0645335472424657,-0.0421264110485838,0.0756729806239825,-0.277285365635898,-0.37676273877515
"ME3",0.180578462369175,-0.143356790356488,-0.176684518766794,0.0828876517051203,0.125490869320848,-0.208702495484069
"ME7",0.0351193554971787,-0.0170888761166386,-0.0686996887571607,0.0769281101633095,-0.0300686996472641,-0.145994550368082
