"Gene","kME","GS_FeverDay","GS_FDR","Priority"
"ETV7",0.796095494663783,-0.41407801000252,0.0437043446445698,0.329645638202351
"IFIT1",0.780745304578836,-0.347355032153928,0.187766374249068,0.27119581037601
"XAF1",0.611539482344703,-0.427318368780746,0.0437043446445698,0.261322054040561
"RSAD2",0.771685154963077,-0.319745765317318,0.297015760180175,0.246743060457682
"LAMP3",0.805739201783665,-0.29573884918643,0.377612875538073,0.238288384279894
"IFIT2",0.814879907026508,-0.258499638687067,0.648651299309307,0.210646161539703
"SIGLEC1",0.650768411837868,-0.313875785833101,0.310641688357172,0.20426044666097
"CXCL10",0.800379188694224,-0.228139962180487,0.773688554658065,0.182598477838749
"CCL2",0.805811521221181,-0.22279718862308,0.778074533955985,0.179532541488166
"OAS1",0.521389090642013,-0.282482395892037,0.46069217604023,0.147283239516526
